id,type,question,optionA,optionB,optionC,optionD,answer,explanation
1,判断,遇到红灯时是否必须在停止线以内停车？,是,否,,,A,红灯亮时车辆应在停止线以外停车等待，若未设置停止线应在路口停止线以外的地方停车
2,单选,夜间会车时应使用何种灯光？,远光灯,近光灯,雾灯,示廓灯,B,夜间会车应使用近光灯以免影响对向来车视线
3,单选,超车时应从哪一侧超越前车？,左侧,右侧,可从任意侧,紧急时任选,A,道路交通规则规定超车应从左侧超车，特殊情况除外
4,单选,中央双黄实线表示什么？,允许超车,禁止越线超车或掉头,仅限左转车辆可越线,允许掉头,B,中央双黄实线表示禁止越线超车或掉头
5,判断,交警手势优先于交通信号灯。是还是否？,是,否,,,A,交警的指挥手势在现场具有优先效力
6,单选,饮酒后驾驶的血液酒精含量下限为？,10mg/100ml,20mg/100ml,80mg/100ml,100mg/100ml,B,饮酒后驾驶（行政）界定为血液酒精含量≥20mg/100ml且<80mg/100ml
7,单选,醉酒驾驶的血液酒精含量界定为？,≥20mg/100ml,≥50mg/100ml,≥80mg/100ml,≥150mg/100ml,C,醉酒驾驶（刑事）界定为血液酒精含量≥80mg/100ml
8,单选,遇到救护车执行任务驶近，应如何处理？,继续行驶不必理会,立即避让并停靠路边,与救护车并行,超速通过以免阻碍,B,救护车执行紧急任务时，其他车辆应立即避让并停靠路边
9,判断,车辆在雨天通过积水路面应急刹车避免熄火。是还是否？,是,否,,,B,雨天遇到积水切勿猛踩刹车，应缓慢减速并稳住方向
10,单选,在没有交通标志标线的道路上临时停车原则是什么？,随意停放,不妨碍其他车辆和行人停放,停在人行横道上,停在路口中心,B,临时停车不得妨碍其他车辆和行人通行
11,单选,学校区域见到黄色警示标志应怎样行驶？,加速通过,保持正常车速,减速慢行并注意行人,鸣笛通过,C,学校区域要减速慢行并注意儿童出入
12,判断,云雾天气应开启远光灯以增强能见度。是还是否？,是,否,,,B,雾天应使用雾灯或近光灯，远光灯会产生反射影响视线
13,单选,驾驶证记分达到多少分需参加学习考试？,12分,24分,6分,18分,A,驾驶证记分实行12分制，计分满12分需参加学习并考试
14,单选,遇到前方车辆发生事故有伤者，应首先做什么？,离开现场,保护现场并报警救护,拍照后离开,继续行驶,B,发生事故应先保护现场并报警救援，保障人身安全
15,判断,实线是允许跨越的。是还是否？,是,否,,,B,实线表示禁止跨越
16,单选,转弯前应做哪些准备动作？,不必任何动作,鸣喇叭后直接转弯,提前减速并开启转向灯,加速并直接转弯,C,转弯前应提前减速并打转向灯，观察周围情况
17,单选,在城市道路发生车辆抛锚需停车时，应如何放置警示标志？,不需要放置,在车辆后方50米处放置三角警示牌,放在车头处,放在驾驶位旁边,B,发生故障需在车辆后方适当距离放置三角警示牌警示后方来车
18,单选,遇到黄色闪烁灯时应如何行驶？,加速通过,减速慢行并注意避让,停车等待,随意行驶,B,黄灯闪烁提示注意并减速慢行
19,单选,超车时发现对向来车，应怎样做？,继续强行完成超车,立即返回原车道并靠右,继续加速超车,鸣喇叭示意对方让行,B,若遇对向来车应立即回到原车道并靠右行驶
20,判断,疲劳驾驶与酒驾同样严肃且禁止。是还是否？,是,否,,,A,疲劳驾驶严重影响安全，相关法规禁止疲劳驾驶
21,单选,行驶中轮胎爆裂应首先？,猛打方向盘,保持方向盘稳定并缓慢减速靠边,立即加速到安全区,直接下车修理,B,爆胎要稳住方向并缓慢减速靠边
22,单选,右侧道路边缘实线表示？,允许变更车道,禁止压线或跨越,仅公交车可使用,允许停车,B,道路边缘实线通常用于限制压线或跨越
23,判断,遇到交警手势示意停车必须服从。是还是否？,是,否,,,A,交警指挥优先，必须服从
24,单选,如遇急救车从后方鸣笛并闪灯时，其他车辆应？,继续行驶不变道,立即减速并停靠路边让行,停在原地原地等待,不允许变道,B,应立即避让并停靠路边
25,单选,掉头禁止标志出现时，驾驶人应？,在此处掉头,寻找允许掉头的地点,强行掉头,随意决定,B,有禁止掉头标志则不得掉头，应寻找允许掉头的地点
26,判断,在路口遇到绿灯但有行人正在通过应停车让行。是还是否？,是,否,,,A,行人优先，行人通过时车辆应避让
27,单选,公安交通管理部门关于机动车检验周期通常对新车首次检验为？,6年,4年,3年,1年,A,新车首次检验通常为6年（具体以当地政策为准）
28,单选,遇到道路结冰时应如何驾驶？,正常车速行驶,加速通过,降低车速并预留更大车距,随意驾驶,C,冰雪路面应降低车速并增加车距
29,判断,占用应急车道行驶是被允许的。是还是否？,是,否,,,B,占用应急车道通常是违法行为
30,单选,在无信号的道路交叉口，应当遵守什么规则？,谁先到先行,右转车辆优先,让右方先行,无规则,让右方先行,C,无信号时通常遵守右侧优先通行原则
31,单选,遇到公交车站牌前车减速等候时，应如何通过？,加速超越,减速并注意避让乘客上下,鸣喇叭催促,占用公交专用道,B,在公交车站应减速并注意避让上下车乘客
32,判断,事故中如有人受伤应先救人再保护现场并报警。是还是否？,是,否,,,A,救助伤员并报警是首要步骤
33,单选,使用手机驾驶属于？,安全行为,违法行为并可能记分,允许在红灯时使用,仅在堵车时允许,B,驾驶时使用手机属于违法行为，可能会被记分处罚
34,单选,在高速公路入口遇到加速车道时应如何进入？,突然并入主车道,利用加速车道提速并顺利并入主线,停在加速道等待,倒车返回入口,B,应使用加速车道提速并与主线车辆合流
35,判断,车辆通过人行横道应优先避让行人。是还是否？,是,否,,,A,车辆应对行人让行
36,单选,若驾驶证被暂扣，何时可以申请恢复？,随时申请,暂扣期满后按规定办理,永远不能恢复,扣分满后自动恢复,B,暂扣期满并按规定办理恢复手续
37,单选,遇到隧道行驶应注意哪些事项？,开远光灯,保持安全车距并开启近光灯与示宽灯,随意变道,停车观赏风景,B,隧道内应保持车距并开启近光灯
38,判断,酒精检测呼气值可以作为酒驾认定证据。是还是否？,是,否,,,A,呼气检测常作为初步证据，但血液检测为最终认定依据
39,单选,在窄路会车时遇到大型车辆占道，应如何处理？,强行通过,避让对方或倒退寻找安全地带,占用对方车道通过,随意鸣笛等待,B,窄路会车应礼让、避让或倒退至安全区
40,单选,转弯遇到急弯应如何操作？,不减速直接转弯,提前减速并靠近内侧行驶,提前减速并注意警示标志与车速,超车再转弯,C,遇急弯要提前减速并注意警示标志
41,判断,车距安全法则是在不同路况需要调整的。是还是否？,是,否,,,A,应根据路况调整安全车距
42,单选,紧急情况下刹车失灵，应优先采取哪个措施？,继续猛踩刹车,拉紧手刹并利用挡位减速,立即下车,开门逃跑,B,刹车失灵可使用手刹并降挡辅助减速
43,单选,遇到路面落石警告标志，应注意什么？,加速通过,停车不前,减速并注意路面情况,随意通过,C,落石警告应减速并注意路面
44,判断,遇到绿灯闪烁可加速通过。是还是否？,是,否,,,B,绿灯闪烁通常表示信号异常或可通行但需注意，不能盲目加速
45,单选,在城市道路遇到非机动车突然闯入应怎么做？,按喇叭并继续行驶,紧急制动并避免侧滑，视情况避让,跨线超车绕开,与之竞速,B,遇突发情况应紧急制动并采取安全避让措施
46,单选,机动车在道路上临时停车时不得停放在哪里？,不妨碍通行处,人行横道,路边允许停车处,停车场,B,不得在人行横道上停车
47,判断,校车在停靠接送学生时其他车辆必须停车等待。是还是否？,是,否,,,A,校车接送学生时其他车辆应停车让行（依地区法规）
48,单选,在交叉路口遇到黄灯持续亮起，应怎样处理？,加速通过,减速停车或视情况通过,强行通过不理会,倒车返回,B,黄灯持续亮起提示注意，原则上应减速停车或谨慎通行
49,单选,行车中突遇道路塌方封闭，应如何处置？,强行通过,按导航绕行或按警示标志指示掉头,留在原地等候,向塌方靠近查看,B,道路封闭应按标志或导航绕行，确保安全
50,判断,驾驶人教育和考试合格后可依法取得 C2 驾驶证。是还是否？,是,否,,,A,通过培训和考试后可取得相应车型驾驶证
